brand,name,seller,reviews_rating_number,reviews_amount,page,old-money,new-money
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre ,4.8,(70),1,1.719,171
LENOVO,Notebook I5 Tela Touch Ssd 256gb 32gb Fhd Hdmi Usb-c Tb3 T14,,5.0,(5),1,3.999,2.799
ASUS,"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",Por Asus ,4.8,(838),1,3.099,2.699
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.8,(345),1,8.558,2.899
,2x5 Conjuntos De Fivelas De Couro Em Forma De Pêra Bolsa,,,,1,99,63
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro Cor Grafite",Por Vikings ,4.9,(3473),1,4.998,2.834
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Por Dell ,4.8,(993),1,3.698,3.302
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(5030),1,4.165,2.699
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,(1325),1,7.299,6.399
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,(143),1,2.331,1.433
ACER,Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Por Vikings ,4.9,(101),1,10.498,6.299
,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,(331),1,5.639,3.699
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,4.8,(6343),1,4.117,2.962
DELL,Notebook Dell Latitude E5470 I5 6th 8gb 240gb Ssd - Bom (Recondicionado),Por GSOLD ELECTRO ,,,1,1.499,150
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Samsung ,4.8,(891),1,3.332,333
,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Por Positivo ,4.5,(4095),1,1.732,173
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.8,(1367),1,4.260,426
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Por INPOWER ,4.8,(3677),1,4.185,3.013
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,4.8,(506),1,2.616,261
ACER,"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Por Mercado Livre ,4.8,(972),1,4.285,2.937
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Vikings ,4.8,(422),1,4.831,2.727
DELL,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Por Dell ,4.8,(555),1,3.299,2.997
ASUS,"Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",,4.7,(115),1,2.599,1.844
,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Por Positivo ,4.6,(2786),1,1.999,1.599
ACER,Notebook Acer Gamer Nitro V15 Intel Core I7 13ª Ger. 16gb 512ssd Rtx3050 Com 6gb Gddr6 Nvidia Geforce Linux Gutta ANV15-51-73E9,Por Vikings ,4.8,(110),1,9.998,6.099
ACER,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,Por Mercado Livre ,4.8,(744),1,7.398,5.264
ACER,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Por Acer Brasil ,4.9,(547),1,10.999,8.599
ACER,Notebook Acer Aspire 5 A515-45-R36L Ryzen 7 15.6 Radeon 512gb 12gb Linux,,4.8,(643),1,4.356,3.217
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(705),1,3.146,2.069
ACER,Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,Por Acer Brasil ,4.9,(151),1,3.599,3.099
ASUS,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,Por Mercado Livre ,4.9,(156),1,6.499,5.665
ASUS,"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",Por Mercado Livre ,4.8,(164),1,3.199,2.941
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(23),1,3.137,2.659
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por Positivo ,4.6,(3685),1,1.799,1.449
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou ,4.8,(2644),1,8.025,5.039
ASUS,"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",Por Asus ,4.7,(280),1,2.099,1.649
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Mobcom ,4.9,(2015),1,5.294,4.899
LENOVO,Lenovo Thinkpad P16 Intel Core Ultra 7 16gb Rtx 500 512gb W11 Pro,Por Lenovo ,,,1,11.249,1.081
